Timestamp,BR,RtoR
25/05/2019 14:12:49.116,38,-0.784
25/05/2019 14:12:49.172,53,-0.784
25/05/2019 14:12:49.228,70,-0.784
25/05/2019 14:12:49.284,86,-0.784
25/05/2019 14:12:49.340,98,-0.784
25/05/2019 14:12:49.444,111,-0.784
25/05/2019 14:12:49.500,118,-0.784
25/05/2019 14:12:49.556,126,0.756
25/05/2019 14:12:49.612,131,0.756
25/05/2019 14:12:49.668,134,0.756
25/05/2019 14:12:49.724,135,0.756
25/05/2019 14:12:49.780,134,0.756
25/05/2019 14:12:49.836,133,0.756
25/05/2019 14:12:49.892,129,0.756
25/05/2019 14:12:49.948,126,0.756
25/05/2019 14:12:50.004,122,0.756
25/05/2019 14:12:50.060,117,0.756
25/05/2019 14:12:50.116,112,0.756
25/05/2019 14:12:50.172,105,0.756
25/05/2019 14:12:50.228,100,0.756
25/05/2019 14:12:50.284,93,-0.74
25/05/2019 14:12:50.340,86,-0.74
25/05/2019 14:12:50.396,77,-0.74
25/05/2019 14:12:50.444,67,-0.74
25/05/2019 14:12:50.500,59,-0.74
25/05/2019 14:12:50.556,47,-0.74
25/05/2019 14:12:50.612,37,-0.74
25/05/2019 14:12:50.668,25,-0.74
25/05/2019 14:12:50.724,13,-0.74
25/05/2019 14:12:50.780,2,-0.74
25/05/2019 14:12:50.836,-9,-0.74
25/05/2019 14:12:50.892,-20,-0.74
25/05/2019 14:12:50.948,-32,-0.74
25/05/2019 14:12:51.004,-42,0.768
25/05/2019 14:12:51.060,-51,0.768
25/05/2019 14:12:51.116,-60,0.768
25/05/2019 14:12:51.172,-67,0.768
25/05/2019 14:12:51.228,-73,0.768
25/05/2019 14:12:51.284,-80,0.768
25/05/2019 14:12:51.340,-83,0.768
25/05/2019 14:12:51.396,-86,0.768
25/05/2019 14:12:51.444,-88,0.768
25/05/2019 14:12:51.500,-90,0.768
25/05/2019 14:12:51.556,-91,0.768
25/05/2019 14:12:51.612,-90,0.768
25/05/2019 14:12:51.668,-89,0.768
25/05/2019 14:12:51.724,-89,-0.764
25/05/2019 14:12:51.780,-87,-0.764
25/05/2019 14:12:51.836,-85,-0.764
25/05/2019 14:12:51.892,-82,-0.764
25/05/2019 14:12:51.948,-80,-0.764
25/05/2019 14:12:52.004,-78,-0.764
25/05/2019 14:12:52.060,-75,-0.764
25/05/2019 14:12:52.116,-72,-0.764
25/05/2019 14:12:52.172,-71,-0.764
25/05/2019 14:12:52.228,-67,-0.764
25/05/2019 14:12:52.284,-66,-0.764
25/05/2019 14:12:52.340,-63,-0.764
25/05/2019 14:12:52.396,-60,-0.764
25/05/2019 14:12:52.444,-57,-0.764
25/05/2019 14:12:52.500,-53,0.784
25/05/2019 14:12:52.556,-50,0.784
25/05/2019 14:12:52.612,-46,0.784
25/05/2019 14:12:52.668,-41,0.784
25/05/2019 14:12:52.724,-37,0.784
25/05/2019 14:12:52.780,-31,0.784
25/05/2019 14:12:52.836,-25,0.784
25/05/2019 14:12:52.892,-16,0.784
25/05/2019 14:12:52.948,-5,0.784
25/05/2019 14:12:53.004,5,0.784
25/05/2019 14:12:53.060,19,0.784
25/05/2019 14:12:53.116,31,0.784
25/05/2019 14:12:53.172,44,0.784
25/05/2019 14:12:53.228,58,-0.772
25/05/2019 14:12:53.284,69,-0.772
25/05/2019 14:12:53.340,82,-0.772
25/05/2019 14:12:53.396,93,-0.772
25/05/2019 14:12:53.444,108,-0.772
25/05/2019 14:12:53.500,122,-0.772
25/05/2019 14:12:53.556,135,-0.772
25/05/2019 14:12:53.612,148,-0.772
25/05/2019 14:12:53.668,158,-0.772
25/05/2019 14:12:53.724,165,-0.772
25/05/2019 14:12:53.780,171,-0.772
25/05/2019 14:12:53.836,172,-0.772
25/05/2019 14:12:53.892,171,-0.772
25/05/2019 14:12:53.948,169,0.74
25/05/2019 14:12:54.004,163,0.74
25/05/2019 14:12:54.060,156,0.74
25/05/2019 14:12:54.116,149,0.74
25/05/2019 14:12:54.172,139,0.74
25/05/2019 14:12:54.228,131,0.74
25/05/2019 14:12:54.284,120,0.74
25/05/2019 14:12:54.340,111,0.74
25/05/2019 14:12:54.396,102,0.74
25/05/2019 14:12:54.444,94,0.74
25/05/2019 14:12:54.500,87,0.74
25/05/2019 14:12:54.556,79,0.74
25/05/2019 14:12:54.612,72,0.74
25/05/2019 14:12:54.668,65,0.74
25/05/2019 14:12:54.724,58,-0.752
25/05/2019 14:12:54.780,52,-0.752
25/05/2019 14:12:54.836,43,-0.752
25/05/2019 14:12:54.892,34,-0.752
25/05/2019 14:12:54.948,25,-0.752
25/05/2019 14:12:55.004,14,-0.752
25/05/2019 14:12:55.060,4,-0.752
25/05/2019 14:12:55.116,-6,-0.752
25/05/2019 14:12:55.172,-19,-0.752
25/05/2019 14:12:55.228,-27,-0.752
25/05/2019 14:12:55.284,-39,-0.752
25/05/2019 14:12:55.340,-48,-0.752
25/05/2019 14:12:55.396,-58,-0.752
25/05/2019 14:12:55.444,-68,0.792
25/05/2019 14:12:55.500,-75,0.792
25/05/2019 14:12:55.556,-84,0.792
25/05/2019 14:12:55.612,-91,0.792
25/05/2019 14:12:55.668,-100,0.792
25/05/2019 14:12:55.724,-108,0.792
25/05/2019 14:12:55.780,-115,0.792
25/05/2019 14:12:55.836,-123,0.792
25/05/2019 14:12:55.892,-130,0.792
